S.No.,Project Details and Address,Project Completion Date,Location of Site
169," - Construction of Stilt Floor + 5 Floors Residential Building with 15 dwelling units at Plot No.10, Narmathai Street, Yagappa Nagar comprised in T.S.No.3638, Ward No.6, Block No.97 of Thanjavur Village, Thanjavur Taluk, Thanjavur District.",December 2025, Latitude-10§45?N; Longitude-79§07?E;
170," - Construction of Promoter?s share of Flat Nos.2B, 3A, 3B, 4A, 4B, 5A, 5B of Stilt Floor + 5 Floors Residential Building at Plot No.B-84, Door No.66, 7th Avenue, Ashok Nagar, Chennai ? 600083 comprised in T.S.No.74/2, Block No.57 of Kodambakkam Village, Mambalam Taluk, Chennai District.",March 2025, Latitude-13§02?N; Longitude-80§12?E;
171," - Construction of Registration of Ground Floor + 3 Floors Admin Block comprised in S.Nos.1/1, 3, 4/1, 2, 3, 4, 5, 7/4B, 13/2, 14/1, 5A, 15/2A, 2B, 18, 19/2 part, 2A, 20/1, 2B, 21/1, 2, 22/1A, 1B, 2A, 2B, 23/1A, 1B, 1C, 2, 3A, 3B, 3C, 4, 24, 25/1B1, 1B2, 1C, 25/1D, 1E, 1F, 1G, 1H, 1I, 1J, 1K, 1L, 1M, 2A, 2B, 26/1, 2, 27/1, 2, 28/1, 2, 3, 29/1, 2A, 3B, 32, 33/1, 33/2, 34/1A, 34/1B, 35, 43, 44/1, 2 of Egattur Village, S.Nos.52/2C, 53/1A2 of Navalur Village, Rajiv Gandhi Salai (Old Mahabalipuram Road), Muttukadu Panchayat, Thiruporur Taluk, Chengalpattu District.",Completed," Latitude-12ø50?7.40""N; Longitude-80ø13?49.01?E;"
172," - Construction of Registration of Group Housing Development consisting of 50 Blocks with Ground Floor + 1st Floor Residential Building Totally 50 dwelling units comprised in Town Survey Nos.11, 41 (Old Survey Nos.317/2B, 327/1), Block No.11, Ward?C of Semmencherry Village within the limit of Greater Chennai Corporation.",March 2028,
173," - Construction of Registration of Group Development Residential cum Club House Building consisting of 6 Blocks, Block-1: Combined Basement Floor + Ground Floor + 4 Floors with 145 dwelling units with Club House - Ground Floor + 3 Floors + 4th Floor (Part) with Swimming Pool, Block-2: Combined Basement Floor + Ground Floor + 4 Floors with 155 dwelling units, Block-3: Combined Basement Floor + Ground Floor + 4 Floors with 160 dwelling units, Block-4: Combined Basement Floor + Ground Floor + 4 Floors with 174 dwelling units, Block-5: Combined Basement Floor + Ground Floor + 4 Floors with 260 dwelling units, Block-6: Combined Basement Floor + Ground Floor + 4 Floors with 200 dwelling units Totally 1094 dwelling units (15.45m height for all Blocks) at Tharapakkam Road, Gerugambakkam, Chennai comprised in Survey Nos.611, 612, 613/3, 614, 615, 616, 617/2, 620/1B, 620/2B, 621, 622, 623/1, 623/2B, 623/4, 623/5A, 623/5B & 623/6 of Gerugambakkam Village within the limit of Kundrathur Panchayat Union.","Phase?I (Block Nos.3, 5, 6) - 21.04.2027; Phase?II (Block Nos.1, 2, 4) - 21.04.2028;",
174," - Construction of Stilt Floor + 5 Floors Residential Building with 20 dwelling units comprised in R.S.Nos.495/36, 495/44 (Old S.Nos.15/1A1A, 15/4A1A), Plot No.W of Millenium Garden, Kumbakonam?Chennai Main Road, Vadakuthu Village & Panchayat, Kurinjipadi Taluk, Cuddalore District.",20.02.2025," Latitude-11ø37?31.7""N; Longitude-79ø33?05.3?E;"
175," - Construction of Stilt + 4 Floors Residential Building with 08 Dwelling Units at Flat No.177/1 to 6, Block No.177, Kurinji Colony, 4th Avenue, Shanthi Colony, Anna Nagar, Chennai comprised in S.No.207 part, T.S.No.60/8, Block No.19 of Koyembedu Village, Amijikarai Taluk, Chennai District.",December 2026," Latitude-13ø04?58.5""N; Longitude-80ø12?06.2?E;"
176,,31.12.2024," Latitude-13ø01?06.93""N; Longitude-80ø09?37.50?E;"
177," - Construction of Registration of Stilt Floor + 4 Floors Residential Building with 20 dwelling units at Ward No-III, Block No.13, T.S.No.658/1R, Plot No.A-35 of Alagesan Nagar, Chengalpattu Municipality / District (Formerly Kancheepuram District).",30.06.2023," Latitude-12ø40?54.7""N; Longitude-79ø58?43.1?E;"
178," - Construction of Lower Basement + Middle Basement + Upper Basement Floor of Tower-B: Ground Floor + 16 Floors Residential Building with 67 dwelling units, Tower-C: Ground Floor + 16 Floor Residential Building with 67 dwelling units, Tower-D: 10, 11 & 12th Floor Residential Building with 15 dwelling units (Total 149 Units) comprised in Old T.S.Nos.334/2, 3, 4, 335/2, 336/1 to 6A, T.S.No.38/1, Block No.37, Ward No.AA(27) of Krishnarayapuram Village, Coimbatore.",27.06.2027,
179," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Block No.H-12, Thiruvalluvar Nagar, 1st Avenue and 2nd Main Road, Thiruvanmiyur Village comprised in Old S.No.215pt and 219pt, T.S.No.273/2, Block No.64 of Thiruvanmiyur Village, Chennai.",December 2027," Latitude-12ø97?76.30""N; Longitude-80ø26?04.60?E;"
180," - Construction of Registration of High Rise Residential Building with Basement Floor (Parking) + Stilt Floor (Parking) + 1st Floor to 9th Floor with 18 dwelling units at New No.75/1 to 75/34, Old No.58 to 91, Vepery High Road, Vepery Village, Chennai comprised in R.S.No.710, Block No.17 of Vepery Village, Chennai.",31.12.2026," Latitude-13ø08?50.3""N; Longitude-80ø26?36.5?E;"
181," - Construction of Stilt Floor + 3 Floors Residential Building with 9 dwelling units at Plot No.47, VGP Amutha Nagar, 2nd Cross Street comprised in S.No.4/3A1B of Maduravoil Village, Maduravoil Taluk, Chennai.",22.11.2026,
182," - Construction of Stilt Floor + 2 Floors + 3rd Floor Part Residential Building with 23 dwelling units at Plot Nos.1, 2 & 3, Mullai Nagar Extension, Madambakkam, Chennai comprised in S.Nos.593/7A2, 596/2B of Madambakkam Village, Tambaram Taluk, Chengalpattu District.",March 2026, Latitude-12ø89?N; Longitude-80ø15?E;
183," - Construction of Registration of Ground Floor + 1st Floor Type?2 Row House Nos.206 to 211 (6 Nos.), Type?3 Row House Nos.306 to 311 (6 Nos.), Type?4 Row House Nos.406 to 410 (5 Nos.) (Total 17 Nos.) comprised in S.Nos.1/1, 3, 4/1, 2, 3, 4, 5, 7/4B, 13/2, 14/1, 5A, 15/2A, 2B, 18, 19/2 part, 2A, 20/1, 2B, 21/1, 2, 22/1A, 1B, 2A, 2B, 23/1A, 1B, 1C, 2, 3A, 3B, 3C, 4, 24, 25/1B1, 1B2, 1C, 25/1D, 1E, 1F, 1G, 1H, 1I, 1J, 1K, 1L, 1M, 2A, 2B, 26/1, 2, 27/1, 2, 28/1, 2, 3, 29/1, 2A, 3B, 32, 33/1, 33/2, 34/1A, 34/1B, 35, 43, 44/1, 2 of Egattur Village and S.No.52/2C, 53/1A2 of Navalur Village, Rajiv Gandhi Salai (Old Mahabalipuram Road), Muttukadu Panchayat, Thiruporur Taluk, Chengalpattu District.",March 2025," Latitude-12ø49?56.24""N; Longitude-80ø14?3.64?E;"
184," - Construction of Registration of High Rise Building (HRB) Group Development 2 Blocks for Residential Building consisting of Extended Combined Basement Floor for Block-1 & 2, Block-1: Partly Stilt Floor / Party Ground Floor + 19 Floors with 331 dwelling units, Block-2 (Amenity Block): Ground Floor + 4 Floors (NHRB) incidental activities with Yoga, Association Room, Indoor Games Room, Home Theatre, Gym, Meditation Room, Creche, Shower Room, Dress Change Room and Open Swimming Pool at TNHB Main Road, Sholinganallur, Chennai comprised in Survey Nos.307/2B & 310/2B of Sholinganallur Village, Sholinganallur Taluk, Chennai District.",10.10.2026," Latitude-12ø53?41.24""N; Longitude-80ø14?4.79?E;"
185,,December 2024," Latitude-13ø08?20.1""N; Longitude-80ø11?47.8?E;"
186," - Construction of Stilt Floor + 5 Floors Residential Building with 130 dwelling units at Ottiyambakkam Main Road, Ottiyambakkam, Chennai comprised in S.Nos.260/1B1, 260/2A12A2, 260/2B, 260/2C of Ottiyambakkam Village, Tambaram Taluk, Chengalpattu District.",March 2025, Latitude-12ø87?N; Longitude-80ø19?E;
187," - Construction of Stilt Floor (Parking) + 5 Floors Residential Building with 10 Dwelling Units at Old Door No.2, New Door No.3, Lemech Avenue, Chetpet, Chennai - 600031 comprised in Old S.No.654 Part, R.S.No.408/2, T.S.Nos.408/13, 408/27, Block No.25 of Egmore Village within the limit of Greater Chennai Corporation.",07.02.2028,
188," - Construction of Stilt Floor + 5 Floors with 10 dwelling at Old Door No.41, New Door No.93, 2nd Main Road, Gandhi Nagar, Adyar, Chennai ? 600020 comprised in T.S.No.8, Block No.30 of Kottur Village, Guindy Taluk, Chennai District.",30.06.2026,
189," - Construction of Registration of Extended Basement Floor + Stilt Floor + 12 Floors + 13th Floor (part) (Incidental Club activities at 13th Floor) Residential Building with 163 dwelling units and Open Swimming Pool availing with Premium FSI at Plot Nos.11 & 12 in the approved Layout issued by GCC, Balaji Nagar, KGP Global Village, Sholinganallur, Chennai ? 600119 comprised in S.No.311/1A1 part of Sholinganallur Village, Chennai.",March 2028, Latitude-12.893896'N; Longitude-80.236005'E;
190," - Construction of Stilt Floor + 3 Floors Residential Building with 09 dwelling units at Plot No.3012, 5th Main Road, Ram Nagar South comprised in S.No.111/6 (Patta No.21892, as per Patta New S.No.111/30) of Madipakkam Village, Chennai.",31.12.2023," Latitude-12ø57?50.1""N; Longitude-80ø12?28.2?E;"
191," - Construction of Stilt Floor + 4 Floors + 5th Floor part Residential Building with 63 dwelling units comprised in Old S.Nos.24/2, 24/1A, 24/2B, 24/1B3, New S.Nos.24/2A, 24/1A1, 24/2B1, 24/1B3B of Potheri Village, Chengalpattu Taluk, Chengalpattu District.",April 2028, Latitude-12ø83?N; Longitude-80ø04?E;
192," - Construction of Registration of Group Development comprising 6 Blocks; Combined Basement Floor (Parking) for Blocks-1 to 6; Block-1: Ground Floor + 5 Floors with 92 Dwelling Units; Block-2: Ground Floor + 5 Floors with 278 Dwelling Units; Block-3: Ground Floor + 4 Floors with 111 Dwelling Units; Block-4: Ground Floor + 4 Floors with 64 Dwelling Units; Block-5: Ground Floor + 5 Floors with 101 Dwelling Units, Block-6 (Club House): Ground Floor + 3 Floors, Totally 646 Dwelling Units and Swimming Pool on the Ground Floor Level (By Amalgamating Additional Land) comprised in S.Nos.318, 320, 321, 343, 344, 345/2, 345/3, 346/1, 346/2, 347/1, 347/2, 348/6, 352, 353, 354, 355/1 & 355/2 of Manapakkam Village within the limit of Greater Chennai Corporation.",12.04.2027, Latitude-13§00?38.37?N; Longitude-80§09?58.92?E;
193,,December 2024,
194," - Construction of Registration of Stilt Floor + 5 Floors (18.30m Height) Residential Building with 17 dwelling units availing Premium FSI at Plot Nos.25 & 26, New No.3, 22nd Street, Thillai Ganga Nagar, Nanganallur, Chennai ? 600061 comprised in Old S.Nos.76 & 76/5, T.S.No.41 & 42, Block No.11, Ward?E of Adambakkam Village, Alandur Taluk within the limit of Greater Chennai Corporation.",07.02.2031, Latitude-12.990176'N; Longitude-80.192759'E;
195," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 12 dwelling units of 18.30m Height availing Premium FSI at Plot Nos.E-7/1 & E-7/2, 44th Street, NCBS Colony, Nanganallur, Chennai ? 600061 comprised in Old S.Nos.29 & 30, T.S.No.34/2, Block No.19 of Nanganallur Village, Alandur Taluk within the limit of Greater Chennai Corporation.",09.02.2031, Latitude-13ø03?21.9?N; Longitude-80ø12?33.2?E;
196," - Construction of Registration of Stilt Floor Part + Ground Floor Part + 4 Floors + 5th Floor part Residential Building with 26 dwelling units at Service Road of N.H. Bye Pass Road, Sivabudam, Chennai comprised in S.Nos.108/2A2, 108/3A1B, 108/3B1B of Sivabudam Village, Maduravoyal Taluk, Chennai.",March 2025, Latitude-13.05247'N; Longitude-80.15319'E;
197," - Construction of Registration of Stilt Floor + 4 Floors + 5th Floor (part) Residential Building with 10 Dwelling Units at Plot No.B-124, New Door No.9, Old Door No.4, 8th Cross Street, Shastri Nagar, Adyar, Chennai comprised in Old S.Nos.98/1 part, 96/1 part, T.S.No.15, Block No.35 of Urur Village, Velachery Taluk, Chennai District.",December 2027, Latitude-12ø59?51.9?N; Longitude-80ø15?37.9?E;
198,,01.12.2023,
199," - Construction of Revised Registration of Stilt Floor + 4 Floors + 5th Floor part Residential Building with Gym (Height ? 18.30m) with 16 dwelling units at Old Door No.4A, New Door No.20, B.Narasimman Road (North Boag Road), Chennai comprised in S.Nos.4888/2, 4888/3 & 4888/4, Block No.114 of T.Nagar Village within the limit of Greater Chennai Corporation.",31.03.2024, Latitude-13§02?44.5?N; Longitude-80§14?41.5?E;
200," - Construction of Stilt Floor (Parking) + 5 Floors Residential Building with 10 dwelling units at Block No.372, Temple Colony, H-Block 15th Main Road, Anna Nagar, Chennai ? 600040 comprised in Old S.No.207 part, T.S.No.20/1, Block No.10, Ward-1 of Koyambedu Village, Aminjikarai Taluk, Chennai District.",December 2026, Latitude-13§08?N; Longitude-80§20?E;
201," - Construction of Registration of Owner?s share of 1st to 5th Floor in the Extended Basement Floor with MLCP 2 Levels + Stilt Floor (Mechanized Parking) + 12 Floors Commercial Building (Office) at Old Door No.190, New Door No.8, 10 & 12, Anna Salai, Little Mount, Saidapet, Chennai ? 600015 comprised in S.No.27/1 & 27/4, Block No.8 of Adyar Village, Guindy Taluk, Chennai.",July 2025, Latitude-13.0142652?N; Longitude-80.2229688?E;
202,,31.12.2027, Latitude-13§08?N; Longitude-80§15'E;
203," - Construction of Registration of High Rise Group Development Residential and Commercial Buildings comprising Combined and Extended Basement Floor for Blocks?A, B & C over and above in Block?A: Stilt Floor + 4th Floors + 5th Floor (Part) to 13th Floor (Part) for Residential use with 73 dwelling units; Block?B: Stilt Floor + 13 Floors for Residential use with 65 dwelling units; Block?C: Stilt Floor + 13 Floors for Residential use with 91 dwelling units; Totally 229 dwelling units and Block?D: Extended Basement Floor (Amenities use) + Ground Floor (Super Market) + 1st Floor (Multi?Purpose Room) + 2nd Floor (Indoor Games) + 3rd Floor (Gym) for Commercial Building and Change Room / WC for Swimming Pool abutting Sembium?Redhills High Road, Chennai comprised in S.Nos.12/2B & 14/1A1A1 of Kathirvedu Village, Chennai District.",January 2028, Latitude-13§08?44.9?N; Longitude-80§12?21.5?E;
204,,31.12.2026, Latitude-13§01?41.38?N; Longitude-80§15?53.31?E;
205," - Construction of Group Development of Ground + 2 Floors with 125 Villas + Club House comprised in S.Nos.162/2 & 163/2 of Veerakeralam Village, Coimbatore LPA.",05.01.2031, Latitude-11§00?17.1?N; Longitude-76§54?09.7?E;
206," - Construction of Registration of High Rise Building for Residential Development comprising 5 Blocks: Combined Extended Basement Floor for Block-A, B, C, D and MLCP for Parking, Combined Stilt Floor for Block-A, B, C & D for Parking, Block-A consisting of Basement Floor + Stilt Floor + 17 Floors + 18th Floor (Part) with 58.85m Height (FGL to Roof Top) Residential Building with 269 dwelling units, Block-B consisting of Basement Floor + Stilt Floor + 17 Floor + 18th Floor (Part) with 58.85m Height (FGL to Roof Top) Residential Building with 179 dwelling units, Block-C consisting of Basement Floor + Stilt Floor + 17 Floor + 18th Floor (Part) with 58.85m Height (FGL to Roof Top) Residential Building with 214 dwelling units, Block-D consisting of Basement Floor + Stilt Floor + 17 Floor + 18th Floor (Part) with 58.85m height (FGL to Roof Top) Residential Building with 158 dwelling units and Multipurpose Hall, Gym & Yoga Studio and Block-MLCP (NHRB) consisting of Basement Floor + Ground Floor + 5 Floors with 18.0m Height (FGL to Roof Top) for Parking, Totally 820 Dwelling Units, Multi Level Parking and Open Swimming Pool at 1st Floor Level at MMRD Scheme Road, Chennai comprised in Survey Nos.17/1B1B, 17/1B2B, 17/2B1, 17/2B2, 17/2B3, 23/1, 23/2, 23/3, 26/5A, 26/8, 27, 28/2, 28/3, 29/1, 30/1, 30/2A, 30/2B1, 30/2B2, 30/2B3, 31/1B, 31/2A1A, 31/2A1B, 31/2A2, 31/2B2, 31/3A, 31/3B, 31/4B, 33/2B, 33/3B, 33/4, 34/1A, 34/1B, 34/2A, 34/2B, 34/3, 34/4A, 34/4B, 34/5A, 34/5B, 34/6A1, 34/6A2, 34/6B, 34/7A, 34/7B, 34/8A, 34/8B, 35/1B & 35/2B of Kovilambakkam Village and OSR & Link Road comprised in Survey Nos.17/1B1A, 17/1B2A, 31/1A, 31/2B1, 31/4A, 33/1, 33/2A, 33/3A of Kovilambakkam Village within the limit of St.Thomas Mount Panchayat Union.","30.06.2028 for Phase-I: Block Nos.A & B; 30.06.2029 for Phase-II: Block Nos.C & D, MLCP, Club House, Swimming Pool and all Amenities;",
207," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 09 dwelling units availing Premium FSI (Height - 18.30m) at Old Door No.7, New Door No.2, 1st Street, Nawab Habibullah Avenue, Nungambakkam, Chennai comprised in Old R.S.No.86 Part, New R.S.Nos.86/13, 86/14, 86/24 & 86/25, Block No.15 of Nungambakkam Village within the limit of Greater Chennai Corporation.",31.12.2024,
208,Project Details and Address,30.04.2026, Latitude-12§89?26.72?N; Longitude-80§24?22.94?E;
209," - Construction of Stilt Floor + 3 Floors Residential Building with 9 dwelling units at Plot No.7, Annapoorna Nagar (Samson Nagar), Madhavaram, Chennai ? 600060 comprised in Old S.No.1251/1, New S.No.1251/1Apt, T.S.No.74/205, Block No.80, Ward-?D? of Madhavaram Village, Madhavaram Taluk, Chennai District.",December 2024, Latitude-13§08?N; Longitude-80§13?E;
210," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Plot No.10, New Door No.22, Old Door No.11, 3rd Main Road, Rajalakshmi Nagar, Velachery, Chennai comprised in Old S.No.447/2A1A1Apt, T.S.No.103, Block No.78 of Velachery Village, Chennai.",31.05.2024, Latitude-12§98?47.1?N; Longitude-80§21?95.7?E;
211," - Construction of Registration of Stilt Floor + 5 Floors with 25 dwelling units at Door No.A-42, A-42/1, 1st Cross Street, Maharaja Nagar, New T.S.No.67/1 & 67/2, T.S.Ward-BS, Block-12 (Old T.S.No.67 part,T.S.Ward-A, Block-5), R.S.No.262 part, V.M.Chithambaram Village, Palayamkottai Ward, Tirunelveli District.",August 2025, Latitude-8ø70?78.4?N; Longitude-77ø75?38.1?E;
212," - Construction of Registration of Stilt + 3 Floors Residential Building with 12 Dwelling Units at Plot No.1 & 2, Samson Nagar, Annapoorana Nagar 1st Main Road, Ponnaiammanmedu, Madhavaram Chennai ? 600110 comprised in Town Survey No.74/205, Block No.80, Ward?D of Madhavaram Village, Chennai District.",10.06.2026,
213,,05.04.2024,
214," - Construction of Registration of Builder share - 1st Floor (Commercial Building) at Basement Floor pt + Stilt Floor + 4 Floors Office Building at New Door No.09, Old Door No.07, North Street, Sri Ram Nagar, Alwarpet, Chennai comprised in R.S.No.3680/39, Block No.73 of Mylapore Village, Chennai.",31.12.2023, Latitude-13.031802349628787'N; Longitude-80.2500378689073'E;
215,,Completed, Latitude-13.027836120829395'N; Longitude-80.2660447451151'E;
216,,29.03.2025, Latitude-12§57?14.4?N; Longitude-80§12?07.2?E;
217," - Construction of Stilt Floor Part / Ground Floor Part + 5 Floors Residential Building with 50 dwelling units at Kulapakkam Main Road, Gerugambakkam, Chennai comprised in Old S.Nos.277/2A, 277/2B, 277/2C, New S.No.277/2A1 of Gerugambakkam Village, Kundrathur Taluk, Kancheepuram District.",April 2028, Latitude-13§01?N; Longitude-80§14?E;
218," - Construction of Registration of Stilt Floor + 4 Floors + 5th Floor part Residential Building with 35 dwelling units at Plot No.2, Ayanambakkam, Chennai comprised in S.No.403/1A, New S.No.403/1A4 part of Ayanambakkam Village, Poonamallee Taluk, Tiruvallur District.",December 2024, Latitude-13.083796?N; Longitude-80.150275?E;
219," - Construction of Registration of Stilt Floor (Parking) + 5 Floors Residential Building with 10 dwelling units at Plot No.C-66, 2nd Main Road, Thiruvengada Nagar, Ambattur, Chennai comprised in Old S.No.588/23B, T.S.No.30, Block No.05 of Ambattur Village, Chennai.",September 2024, Latitude-13§7?4.7676?N; Longitude-80§11?14.3628?E;
220,,Completed, Latitude-13§26?24.5?N; Longitude-80§14?97.9?E;
221," - Construction of Registration of Stilt + 5 Floors Residential Building with 15 Dwelling Units at Door No.151 (83/2) & 153 (83/3), Thiru-Vi-Ka High Road (Royapettah High Road) and Thiru-Vi-Ka 1st Lane, Mylapore, Chennai comprised in R.S.No.1826/12 & 1826/17, Block No.37 of Mylapore Village, Mylapore Taluk, Chennai District.",31.12.2024, Latitude-13§02?25.5?N; Longitude-80§16?05.4?E;
222," - Construction of Stilt Floor + 3 Floors Residential Building with 09 dwelling units at Plot No.III & IV, S.No.3/4 of Swamy Nagar Extension, Swamy Nagar (N185), Ullagaram (N185), Madipakkam Village, Chennai ? 600091.",31.10.2026, Latitude-12§58?26.5?N; Longitude-80§11?52.1?E;
223," - Construction of Stilt Floor + 5 Floors Residential Building with 15 dwelling units at Old No.36, New No.30, Temple Avenue Road, Venkatapuram, Saidapet comprised in T.S.No.101, Block No.4 of Guindy Taluk, Chennai.",17.03.2031, Latitude-13§14?13.71?N; Longitude-80§29?88.97?E;
224," - Construction of Registration of Stilt Floor + 5 Floors (18.30m Height) Residential Building with 05 dwelling units availing Premium FSI at New Door No.17, Old Door No.62, 4th Street, Abiramapuram, Chennai - 600018 comprised in R.S.No.3665/20, Block No.72 of Mylapore Village within the limit of Greater Chennai Corporation.",December 2027,
225," - Construction of Stilt + 5 Floors Residential Building with 44 dwelling units (Indoor Games Room at 5th Floor) comprised in Old S.No.7/3, T.S.No.8, Block No.5, Ward No.E of Pondicherry Pattai Road, Semmencheri Village, Sholinganallur Taluk, Chennai District.",March 2025,
226," - Construction of Registration of Stilt Floor + 5 Floors (Height 18.30m) Residential Building with 15 dwelling units availing Premium FSI at New Door No.18, Old Door No.15, Malaviya Avenue, Thiruvanmiyur, Chennai - 600041 comprised T.S.No.67, Block No.21 of Thiruvanmiyur Village within the limit of Greater Chennai Corporation.",30.04.2026,
227,,Completed, Latitude-12§46?16.2?N; Longitude-80§12?47.0?E;
228,,31.12.2024,
229,,30.07.2024, Latitude-12§55?N; Longitude-80§08?E;
230," - Construction of 1) Stilt Floor + 3 Floors Residential Building with 11 dwelling units at Plot No.A & B, Indian Bank Colony 3rd Main Road comprised in Old S.No.681/3, New S.No.97/4, 97/5 of Ambattur Village, Chennai and 2) Stilt Floor + 3 Floors Residential Building with 11 dwelling units at Plot No.1 & 2, Indian Bank Colony 3rd Main Road comprised in Old S.No.681/3, New S.No.97/2, 97/3, Block No.36 of Ambattur Village, Chennai.",March 2026," Latitude-13ø6?55.8""N; Longitude-80ø9?44.136?E;"
231,,Completed," Latitude-11ø08?83""N; Longitude-77ø85?22?E;"
232," - Construction of Registration of Builder share of Flat Nos.F1, F2, F3, S3, T1 & T3 (Total 6 Flats) of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot Nos.66 & 67, Kumaran Kudil 4th Cross Street, Okkiyam Thoraipakkam, Chennai comprised in Old S.Nos.129/1, 2, 130/2B, 3A, Patta No.2878, as per Patta S.Nos.130/37A3, 38A1, 129/1A1A2 & 129/2A2 of Okkiyam Thoraipakkam Village, Chennai.",31.10.2026, Latitude-12§56?27.1?N; Longitude-80§14?26.9?E;
233,,Site Nos.10 & 11 - April 2024; 12 - July 2023; 13 - July 2023; 14 - October 2023; 15 - October 2023; 16 - August 2023; 17 - August 2023; 18 & 19 - April 2024;, Latitude-11§06?N; Longitude-77§02?E;
234," - Construction of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at New Door No.10/1 & 10/2, Old Door No.10A, Padmavathiar Road, Gopalapuram, Chennai comprised in T.S.No.67/70, Block No.04 of Mylapore Village, Chennai.",31.03.2025, Latitude-13§03?10.0?N; Longitude-80§15?21.8?E;
235," - Construction of Registration of Stilt Floor (Parking) + 5 Floors Residential Building with 10 Dwelling Units at Plot No.6, New Door No.27, Old Door No.25, Gilchrist Avenue, Chetpet, Chennai comprised in Old R.S.No.321/1 (Part) & 366/1 (Part), Present R.S.No.321/32, Block No.18 of Egmore Village, Egmore Taluk, Chennai District.",31.03.2025, Latitude-13§04?11.01?N; Longitude-80§14?07.05?E;
236," - Construction of Registration of Revised Stilt Floor Part / Ground Floor Part + 5 Floors Residential Building with 80 dwelling units at site reserved for Special Building in the approved Layout PPD/LO.No.32/2019, River View Road, Manapakkam, Chennai comprised in S.Nos.120/1A1 part, 1A2 part, 121/1A1 part, 1A1B part, 121/1A2, 1C1, 1C2, 1D1, & 1D2 of Manappakam Village, Chennai.",December 2028, Latitude-13.01179'N; Longitude-18.05082'E;
237," - Construction of Registration of Basement Floor + Stilt Floor + 4 Floors with 52 dwelling units comprised in T.S.No.225/8, Ward-01, Block?05 of Kamarajar Salai, Madurai Corporation, Madurai South Taluk, Madurai District.",November 2026, Latitude-9ø54?43.78?N; Longitude-78ø8?44.84?E;
238," - Construction of Registration of Basement Floor + Stilt Floor + 5 Floors Residential Apartment Building with 95 Dwelling Units at Old S.F.No.576/1, New T.S.No.44/2, Ward No.AJ, Block No.41 of Singanallur Village, Coimbatore South Taluk, Coimbatore District.",April 2028, Latitude-10ø59?38.5?N; Longitude-77ø02?20.4?E;
239," - Construction of Registration of Stilt Floor + 4 Floors + 5th Floor (Part) Residential Building with 22 Dwelling Units (Affordable Housing) at Plot No.1 & 2 (as per approved Sub-division), Radheshyam Avenue Road, Rajakilpakkam Village, Chennai comprised in Old S.No.126/1, New S.No.126/1B and 126/1C of Rajakilpakkam Village, Tambaram Taluk, Chengalpattu District.",26.02.2031, Latitude-12ø55?04.5?N; Longitude-80ø09?36.1?E;
240," - Construction of Revised project registration of High Rise Commercial cum Residential Building consisting of Extended Double Basement Floor + Stilt Floor (Parking) + 1st & 2nd Floor Commercial use (19 Shops in First Floor & 20 Shops in 2nd Floor) + 3rd Floor to 17th Floor (Residential use) with 86 dwelling units and Gym, Multipurpose Hall & Games Room in 3rd Floor at New Nos.10, 11, 12 & 19, Old Nos.7, 8, 9, 11 & 11A, abutting Thiruvottriyur High Road, Old Washermenpet, Chennai - 600021 comprised in R.S.Nos.1798/1, 1798/19, 1798/20, 1798/25 & 1798/27, Block No.28 of Tondiarpet Village, Tondiarpet Taluk, Greater Chennai Corporation.",11.01.2031, Latitude-13.06213'N; Longitude-80.16473'E;
241," - Construction of Registration of Stilt Floor + 5 Floors (Height 18.30m) Residential Building with 5 dwelling units availing Premium FSI at New Door No.4, Old Door No.17, 1st Street, Kasthuri Rangan Avenue, Alwarpet, Chennai ? 600018 comprised in Old R.S.No.1576/2 part & 1576/3 part, as per Patta New R.S.No.1576/11, Block No.32 of Mylapore Village, Chennai.",25.04.2028, Latitude-13.042506'N; Longitude-80.255615'E;
242," - Construction of Stilt Floor + 5 Floors Residential Building with 20 dwelling units at Plot No.120 & 121, Srinivasa Nagar, Ram Nagar, 12th Street, Madipakkam, Chennai comprised in S.Nos.85/9A, 9B, 37, 86/12C1A & 86/12C1B of Madipakkam Village, Chennai.",31.03.2027, Latitude-12§58?20.6?N; Longitude-80§12?36.9?E;
243,Project Details and Address,30.04.2026, Latitude-12§89?N; Longitude-80§24?E;
244," - Construction of Registration of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Door No.11/1, Appasamy Street, West Mambalam, Chennai comprised in T.S.No.77, Block No.46 of Puliyur Village, Chennai.",17.03.2031, Latitude-13.04427?N; Longitude-80.22082?E;
245," - Construction of Registration of Demolition and Reconstruction of Stilt Floor + 1st to 3rd Floor Residential Building with 11 dwelling units at Plot No.2 comprised in Survey No.93/10 of Lakshmi Nagar 6th Street Extension, Lakshmi Nagar, Ullagaram Village, Sholinganallur Taluk within the limit of Greater Chennai Corporation.",31.12.2023,
246," - Construction of Registration of Stilt Floor + 5 Floors Affordable Residential Building with 15 Dwelling Units at Plot No.14 & 15, ?Sankara Nagar",October 2024, Latitude-10§52?31.6?N; Longitude-78§42?38.6?E;
